Name,City,Latitude,Longitude,Address,Rating,SchoolType
Kester Avenue Elementary School,Los Angeles,34.167732,-118.45858,91411,9,public
King/Drew Medical Magnet High School,Los Angeles,33.924122,-118.245811,90059,9,public
Mayall Street Elementary School,Los Angeles,34.254425,-118.496361,91343,9,public
Melrose Elementary School,Los Angeles,34.084255,-118.345421,90046,9,public
Open Charter Magnet School,Los Angeles,33.968163,-118.378288,90045,9,charter
Overland Avenue Elementary School,Los Angeles,34.038216,-118.421303,90064,9,public
Park Western Place Elementary School,Los Angeles,33.753315,-118.304039,90732,9,public
Roscomare Road Elementary School,Los Angeles,34.120098,-118.464996,90077,9,public
Taper Avenue Elementary School,Los Angeles,33.76218,-118.298347,90731,9,public
Ocean Air School,San Diego,32.928009,-117.214859,92130,9,public
Vista Del Lago High School,Rancho Cordova,38.655964,-121.108009,95630,9,public
KIPP King Collegiate High School,San Lorenzo,37.674419,-122.150391,94580,9,charter
University Preparatory Academy Charter,San Jose,37.292255,-121.873917,95125,9,charter
Monterey Vista Elementary School,Rosemead,34.055653,-118.109665,91755,9,public
John Green Elementary School,Dublin,37.71841,-121.862442,94568,9,public
Russell Ranch Elementary School,Rancho Cordova,38.651554,-121.089912,95630,9,public
Camarillo Academy of Progressive Education,Oxnard,34.225822,-119.059319,93010,9,charter
Global Education Academy,Los Angeles,34.008354,-118.283127,90037,9,charter
Glendora High School,Glendora,34.1343,-117.835487,91741,9,public
Live Oak Elementary School,Danville,37.754025,-121.894768,94582,9,public
Crescenta Valley High School,Glendale,34.223152,-118.243362,91214,9,public
Horace Mann Elementary School,Glendale,34.135479,-118.248962,91205,9,public
Monte Vista Elementary School,Glendale,34.23037,-118.235977,91214,9,public
Mountain Avenue Elementary School,Glendale,34.224792,-118.228226,91214,9,public
Rosemont Middle School,Glendale,34.226204,-118.236282,91214,9,public
Vintage Math/Science/Technology Magnet School,Los Angeles,34.252079,-118.477592,91343,9,public
Del Sur Elementary School,San Diego,33.018543,-117.140541,92127,9,public
Harmony Magnet Academy,Porterville,36.14323,-119.064316,93267,9,charter
Willow Grove Elementary School,San Diego,32.99263,-117.161293,92127,9,public
West Hollywood Elementary School,Los Angeles,34.089127,-118.387337,90069,9,public
Wilder's Preparatory Academy Charter Middle,Inglewood,33.97438,-118.357292,90302,9,charter
KIPP San Jose Collegiate,San Jose,37.368244,-121.860077,95133,9,charter
Warner Avenue Elementary School,Los Angeles,34.069641,-118.433334,90024,9,public
Grazide Elementary School,City of Industry,33.983273,-117.961761,91745,9,public
Los Molinos Elementary School,City of Industry,33.982788,-117.977982,91745,9,public
Wedgeworth Elementary School,City of Industry,33.996445,-117.936661,91745,9,public
Albany High School,Berkeley,37.896305,-122.291885,94706,9,public
Canyon Elementary School,Los Angeles,34.031696,-118.512177,90402,9,charter
Crocker Highlands Elementary School,Oakland,37.811066,-122.227234,94610,9,public
Albany Middle School,Berkeley,37.898098,-122.294853,94706,9,public
Community Magnet Charter Elementary School,Los Angeles,34.082741,-118.463333,90049,9,charter
Cowan Avenue Elementary School,Los Angeles,33.97266,-118.405403,90045,9,public
Foothills Middle School,Arcadia,34.153339,-118.025833,91006,9,public
Holly Avenue Elementary School,Arcadia,34.126495,-118.045319,91007,9,public
Longley Way Elementary School,Arcadia,34.109146,-118.041801,91007,9,public
Day Creek Intermediate School,Etiwanda,34.154259,-117.53389,91739,9,public
Arnold Adreani Elementary School,Elk Grove,38.470711,-121.324142,95829,9,public
Pleasant Grove High School,Elk Grove,38.426231,-121.339149,95624,9,public
Alamos Elementary School,Temecula,33.563614,-117.110664,92563,9,public
Gardner Bullis Elementary School,Los Altos,37.381752,-122.130486,94022,9,public
Beverly Hills High School,Beverly Hills,34.061535,-118.410378,90212,9,public
Bonita High School,San Dimas,34.108669,-117.764458,91750,9,public
Oak Mesa Elementary School,San Dimas,34.128624,-117.775291,91750,9,public
J. Marion Roynon Elementary School,San Dimas,34.103584,-117.767776,91750,9,public
Arma J. Shull Elementary School,San Dimas,34.116798,-117.821037,91773,9,public
Theodore Roosevelt Elementary School,Burbank,34.166374,-118.344551,91505,9,public
Claremont High School,Claremont,34.113007,-117.722542,91711,9,public
El Marino Elementary School,Culver City,33.992115,-118.400429,90230,9,public
Farragut Elementary School,Culver City,34.006996,-118.399147,90230,9,public
Eleanor Roosevelt High School,Norco,33.955082,-117.568665,92880,9,public
Alliance Dr. Olga Mohan High School,Los Angeles,34.036926,-118.272263,90015,9,charter
Alliance Marc & Eva Stern Math And Science,Los Angeles,34.066326,-118.168457,90032,9,charter
Early College High School,Costa Mesa,33.680565,-117.928192,92626,9,public
Arroyo Vista Middle School,San Juan Capistrano,33.623207,-117.615433,92688,9,public
John F. Kennedy High School,Norco,33.917046,-117.564537,92860,9,public
Center Street Elementary,El Segundo,33.924732,-118.40461,90245,9,public
Classical Academy High School,Escondido,33.124187,-117.080566,92025,9,charter
KIPP Promesa Prep,Los Angeles,34.037598,-118.201836,90033,9,charter
Jonas Salk Elementary School,San Diego,32.906593,-117.15699,92126,9,public
John Mccandless Charter,Stockton,37.988518,-121.316032,95207,9,charter
Rancho Campana High,Oxnard,34.244862,-119.013374,93010,9,public
Hoover Elementary,Burlingame,37.576172,-122.380188,94010,9,public
Carmel High School,Carmel,36.555305,-121.909538,93923,9,public
Double Peak K-8,San Marcos,33.10638,-117.165825,92078,9,public
Carmel River Elementary School,Carmel,36.542519,-121.924255,93923,9,public
Ross Valley Charter,Fairfax,37.989788,-122.59034,94930,9,charter
Sherman Thomas Stem Academy,Madera,36.982826,-120.066666,93638,9,charter
Robert Down Elementary School,Pacific Grove,36.617825,-121.916626,93950,9,public
Pacific Grove High School,Pacific Grove,36.610317,-121.92527,93950,9,public
Dixie Elementary School,San Rafael,38.02887,-122.573837,94903,9,public
Mill Valley Middle School,Mill Valley,37.897617,-122.528435,94941,9,public
